Question,A,B,C,D,Answer
Which of these is the most likely diagnosis in a man with lower abdominal pain and unilateral scrotal enlargement while upright?,Femoral hernia,Obturator hernia,Direct hernia,Indirect hernia,Indirect hernia
"Which of these is characterized by tenderness pruritis (itching), burning in the vulva area, with copious yellow discharge?",Chancroid,Syphilis,Gonorrhea,Lymphopathia venereum,Gonorrhea
Which of these is associated with prostatic carcinoma?,Early elevation of alkaline phosphatase,Early elevation of alkaline phosphatase,Increased incidence in the 20-30 year old age range,Decrease in sexual activity,Decrease in sexual activity
"Which symptom is likely to be present in a patient with urethritis, arthritis, and myalgia?",Nystagmus,Scotoma,Conjunctivitis,Spasticity,Conjunctivitis
"Which of these is a kidney shaped, well-defined nodule, which is mobile, tender, and does not transilluminate?",Carcinoma,Fibroadenoma,Cyst,Mastitis,Fibroadenoma
Blue coloration around the umbilicus indicates which of these?,Intra abdominal bleeding,Metastatic carcinoma,Appendicitis,Portal hypertension,Intra abdominal bleeding
"What is suggested by a soft blowing, high pitched, diastolic murmur?",Aortic regurgitation,Aortic stenosis,Mitral stenosis,Tricuspid regurgitation,Aortic regurgitation
A patient complains of pharyngitis.  Which of these decreases the likelihood that the complaint is “strep” throat?,Cough and rhinorrhea,Fever with 103º temperature,Difficulty swallowing,Peritonsillar cellulitis,Cough and rhinorrhea
Inadequate intake of which vitamin leads to pellagra?,Niacin,Vitamin C,Thiamine,Vitamin D,Niacin
"A 10 year old patient complains of pain and itchiness of the right ear.  Otoscopic exam reveals a red and swollen external canal, with a foul smelling discharge.  The tympanic membrane is normal.  Which is the most likely diagnosis?",Cholesteatoma,Otitis externa,Otitis media with effusion,Otitis media,Otitis externa
"A 66 year old man has orthopnea with exertional dyspnea, and pedal edema.  He also presents with jugular distention while seated.  Auscultation of lungs reveals bilateral basilar crackles.  Which of these is most likely to have caused this condition?",Endocarditis,Ventricular septal defect,Tuberculosis,Hypertension,Hypertension
Increased capillary fragility is a sign of which of these conditions?,Scurvy,Pellagra,Kala azar,Beriberi,Scurvy
A patient presents with ammonia smelling breath.  Which of these is this sign most indicative of?,Tonsil or dental infection,Kidney disease,Intestinal obstruction,Diabetes mellitus,Kidney disease
A “bulls eye” lesion is a finding associated with which of these conditions?,Whipple disease,Lyme disease,Scleroderma,Celiac disease,Lyme disease
Psuedopolyposis of the colon is associated with which of these conditions?,Celiac disease,Peutz-Jegher syndrome,Familial polyposis coli,Ulcerative colitis,Ulcerative colitis
,,,,,
Quiz #5,,,,,
"Which of these conditions is characterized by polydipsia, polyphagia, and polyuria?",Ulcerative colitis,Diabetes mellitus,Idiopathic thrombocytopenic purpura,Gall stones,Diabetes mellitus
"A 25 year old patient has severe pain in the right lower quadrant.  Her temperature is 100.5º, pulse 110, white cell count 16,000.  Which is the probable diagnosis?",Salpingitis,Ovarian cyst,Intestinal obstruction,Appendicitis,Appendicitis
A 60 year old woman presents with a history of renal calculi and pink urine.  Which of these is most likely the cause?,Kidney stone,Urethritis,Cystitis,Nephrosis,Kidney stone
Which of these is a chronic disease resulting from a disturbance in water balance?,Hemophilia,Rheumatism,Chlorosis,Diabetes insipidous,Diabetes insipidous
What is the term for absence of skin pigmentation?,Scleroderma,Vitiligo,Polycythemia,Chloasma,Vitiligo
A patient develops jaundice without other symptoms.  Which of these is most likely as a primary suspicion until ruled out?,Acute cholecystitis,Pancreatic cancer,Acute hepatitis,Hepatic cirrhosis,Pancreatic cancer
A 55 year old man with a long history of uncontrolled hypertension and atherosclerosis exhibits a pulsatile mass just to the left of the midline in the abdomen.  Which of these is most likely the cause?,Large bowel obstruction,Abdominal aortic aneurysm,Inflamed diverticulum,Abdominal intestinal tumor,Abdominal aortic aneurysm
"An overweight, long term smoker has dyspnea with cough, which produces abundant sputum.  The complaint has been present for 5 years, and the patient has a history of multiple lung infections.  Which of these is the most likely diagnosis?",Asthma,Chronic bronchitis,Cystic fibrosis,Emphysema,Chronic bronchitis
A 30 year old male presents with a painless mass on the right testicle.  What is the best working diagnosis?,Epididymitis,Testicular tumor,Varicocele,Orchitis,Testicular tumor
"A middle aged male presents with chronic constipation, rebound tenderness, and a negative proctoscopic examination.  Which of these is most likely?",Ulcerative colitis,Irritable bowel syndrome,Crohn disease,Diverticulitis,Crohn disease
Splinter hemorrhages of the fingernails is associated with which condition?,Bacterial endocarditis,Leutic aortitis,Idiopathic pericarditis with effusion,Psoriasis of the nails,Bacterial endocarditis
"A patient presents with rapidly worsening polyuria, with excessive thirst.  This is accompanied by weight loss despite increased appetite.  Which is the most likely diagnosis?",Grave disease,Diabetes insipidous,Type I diabetes mellitus,Type II diabetes mellitus,Type I diabetes mellitus
In a patient presenting with abdominal pain what is the proper order of evaluation?,"Palpate, percussion, auscultation","Percussion, auscultation, palpation","Percussion, palpation, auscultation","Auscultation, percussion, palpation","Auscultation, percussion, palpation"
Which of these is a disorder caused by too rapid a decrease in atmospheric pressure with resultant formation of gas bubbles in bodily fluids?,Caisson disease,Marine disease,Simmon disease,Hyperpyrexia,Caisson disease
In nearly all cases of nephrolithiasis the patient will display _______.,Pyuria,Hematuria,Fever,Flank or groin pain,Hematuria
A sign of infectious disease is the enlargement of several lymph nodes close enough together to be palpated as a single large mass.  What is this lymph node presentation called?,Matted,Connected,Discrete,Moveable,Matted
A routine urinalysis reveals a moderate number of white and red cell casts.  The patient complains of urgent and painful urination which of these procedures would be expected to elicit pain?,Middleton maneuver,Abdominal palpation,Murphy punch,Murphy sign,Murphy punch
Which of these is the most common cause of pancreatitis?,Diabetes mellitus,Pancreatic pseudocyst,Cholelithiasis,Hepatitis,Cholelithiasis
Shortness of breath upon assuming a recumbent position is called _____.,Bradypnea,Orthopnea,Dyspnea,Hyperpnea,Orthopnea
"Which term is described as an irregularly shaped, elevated, progressively enlarging scar, which grows beyond the boundaries of the original wound, due excessive collagen formation?",Normal scar,Keloid,Excoriation,Cicatrix,Keloid
"When a patient complains of sharp substernal pain exacerbated by lying supine or coughing, with shortness of breath, rapid pulse, and a history of recent viral respiratory infection, which is the most likely diagnosis?",Acute myocardial infarction,Acute costchondritis,Acute endocarditis,Acute pericarditis,Acute pericarditis
Which of these is not a cause of hemoptysis?,Pulmonary malignancy,Gastric carcinoma,Bronchiectasis,Pulmonary abscess,Gastric carcinoma
Carpal tunnel syndrome is not an associated complication of which of these conditions?,Pregnancy,Hyperthyroidism,Acromegaly,Rheumatoid arthritis,Hyperthyroidism
Which liver condition has the least favorable prognosis?,Acute viral hepatitis,Fatty liver,Hepatomegaly,Chronic active hepatitis,Chronic active hepatitis
Which sign will help in the differentiation between fibroadenoma and breast carcinoma?,Tenderness to palpation,Pain and heat,Palpate for mobility,Transillumination of the mass,Palpate for mobility
"Steatorrhea, jaundice, anorexia, epigastric, and hypochondriac pain, with weight loss, in a middle aged patient is suggestive of ________.",Cancer of the gall bladder,Cirrhosis of the liver,Cancer of the head of the pancreas,Cancer of the stomach,Cancer of the head of the pancreas
Excessive dryness of the skin may result from which of these?,Cachexia,Stasis dermatitis,Anemia,Anhydrosis,Anhydrosis
"Which of these is the most likely diagnosis in a patient with rapid development of chest pain, cough, sputum, high fever, and dyspnea?",Chronic bronchitis,Acute myocardial infarction,Acute bronchitis,Acute pneumonia,Acute pneumonia
"A 27 year old female with lymphadenopathy and swelling of the spleen, liver, and lymph nodes is presenting with signs of which condition?",Hodgkin disease,Acute cervical lymphadenitis,Infectious mononucleosis,Gaucher disease,Infectious mononucleosis
Which of these conditions is most likely to lead to pulmonary embolism?,Primary hyperparathyroidism,Cerebrovascular accident,Dyspareuria,Prolonged immobilization,Prolonged immobilization
Pigeon breast deformity is a sign of which condition?,Ricketts,Barlow disease,Scurvy,Pellagra,Ricketts
A 28 year old female presents with a painful mass in the breast which becomes larger and more painful immediately prior to menstruation.  What is the most probable diagnosis?,Mastitis,Fibrocystic disease,Mammary duct dysectasia,Adenoma,Fibrocystic disease
A patient presents with musty smelling breath.  Which of these is this sign most indicative of?,Diabetes mellitus,Liver disease,Intestinal obstruction,Tonsil or dental infection,Liver disease
Enlargement of the left supraclavicular lymph node (Virchow’s node) is highly suggestive of which condition?,Peritonsillar abscess,Thyroiditis,Follicular tonsillitis,Gastric carcinoma,Gastric carcinoma
A young man with chest pain of sudden onset which is localized to a specific area of the chest.  What is the most probable diagnosis?,Pneumothorax,Lung infection,Pneumonia,Pulmonary embolism,Pneumothorax
A 15 year old soccer player complains of chest pain and shortness of breath during exercise.  Which of these findings may be present related to this complaint?,Prolonged exhalation phase of respiration,Harsh systolic murmur,Pericardial friction rub,Rales and ronchi,Harsh systolic murmur
"Ventricular preponderance, strain, systolic, or diastolic overload, are terms used in electrocardiography in the identification of ___________.",Ventricular hypertrophy,Myocradial infarction,Bundle branch block,Ventricular arrhythmia,Ventricular hypertrophy
Which of these is not considered to be autoimmune in nature?,Celiac disease,Acromegaly,Type I diabetes mellitus,Systemic lupus erythematosis,Acromegaly
Which of these is the most likely diagnosis in a patient with unexplained cough and hemoptysis?,Lung cancer,Acute bronchitis,Acute pneumonia,Emphysema,Lung cancer
Which of these conditions is characterized by painful abscess of the mouth and a discharge containing sulfur granules?,Moniliasis,Candidiasis,Actinomycosis,Blastomycosis,Actinomycosis
What color is cyanosis?,Blue,Red,White,Yellow,Blue
A patient presents with tachycardia and tachypnea.  He gets fatigued very easily.  His red cells are microcytic and hypochromic.  He presents with a (+) fecal Guaiac test.  What is the diagnosis?,Iron deficiency anemia,Arsenic poisoning,Lead poisoning,Pernicious anemia,Iron deficiency anemia
Which of these forms of tuberculosis is the most common?,Laryngeal,Pulmonary,Tuberculosis arthritis,Acute miliary,Pulmonary
Which of these is consistent with an increased erythrocyte sedimentation rate?,Iron deficiency anemia,Multiple myeloma,Polycythemia vera,Sickle cell disease,Multiple myeloma
Elevation of alkaline phosphatase level in a 19 year old male is most likely the result of which of these?,Osteosarcoma,Normal bone growth,Metastatic carcinoma,Paget disease,Osteosarcoma
"A 49 year old patient presents with chest pain, cough, and dyspnea.  Examination reveals a high blood pressure, with a pulse of 90.  The patient demonstrates diaphragmatic excursion, and auscultation reveals an apical, rumbling, diastolic, opening snap.  Which of these is the most likely cause?",Mitral stenosis,Decreased blood volume,Pulmonary edema,Precordial effusion,Mitral stenosis
"A 19 year old woman presents with a well defined, moveable, tender mass on the right breast.  Upon transillumination the mass is translucent.  What is the most likely diagnosis?",Cyst,Fibroadenoma,Mastitis,Carcinoma,Cyst
"A 23 year old female presents with 12 hour history of abdominal pain in the right lower quadrant, which is the most likely diagnosis?",Appendicitis,Biliary tree obstruction,Diverticulitis,Ectopic pregnancy,Appendicitis
"A 52 year old male experiences deep, severe, retrosternal pain and pressure, which occurs when mowing the lawn, or after eating a heavy meal.  The symptoms last 5 minutes.  What is the most likely diagnosis?",Myocardial infarction,Hiatal hernia,Angina pectoris,Pulmonary disease,Angina pectoris
"A patient experiences sharp, “collicky” pain in the abdominal area which usually follows ingestion of a fatty meal.  To which area would you expect him to experience pain referral?",The left neck and 2nd rib,The right scapula,The right upper arm,The left shoulder,The right scapula
Which of these is a skin rash associated with celiac disease?,Dermatitis herpetiformis,Cafe au lait spots,Cutis hyperelastica,Battle sign,Dermatitis herpetiformis
Paronychia is an acute infection of the ________.,Groin,Nail bed,Nasal septum,Axilla,Nail bed
How does pitting edema present?,With heat and redness,With displacement of fluid upon palpation with sudden return,With displacement of fluid and depression upon palpation,With reduction in swelling with application of ice,With displacement of fluid and depression upon palpation
"A middle aged woman presents with with pain, slightly elevated temperature, and a mild infection of the leg.  There are marks extending from the medial malleolus to the popliteal fossa, with raised tender nodules.  What is the most likely diagnosis?",Adenitis,Deep vein thrombosis,Lymphangitis,Inguinal lymph node,Lymphangitis
Systemic congestion resulting from right side heart failure presents with which clinical picture?,"Nausea, vomiting, skin eruption, and vertigo","Postural orthopnea, continuous dyspnea, and mitral insufficiency",High systolic and diastolic arterial pressure,"Jugular distention with pulsation, hepatomegaly, ascities, and ankle edema","Jugular distention with pulsation, hepatomegaly, ascities, and ankle edema"
A 57 year old smoker presents with painful swelling of the right calf.  He is able to flex forward without increasing the pain.  What is the most likely diagnosis?,Anterior compartment syndrome,Deep vein thrombosis,Thromboangiitis,Saphenous nerve entrapment,Deep vein thrombosis
A 36 year old woman presents with dyspnea and right side pain.  Her symptoms appeared suddenly the night before and this morning she awoke with a cough.  She is afebrile and blood chemistry is unremarkable.  She has tachypnea and antalgic lean to the right.  Which is the most likely diagnosis?,Lobar pneumonia,Spontaneous pneumothorax,Rib fracture,Carcinoma of the lung,Spontaneous pneumothorax
A 36 year old male complains of esophageal reflux with pain in the thoracic region.  The pain is relieved by eating.  This history is suggestive of _______.,Acute cholecystitis,Peptic ulcer,Hiatal hernia,Acute gastroenteritis,Peptic ulcer
"An 8 year old boy presents with clear, unilateral nasal discharge.  Which of these is the least likely diagnosis?",Nasal tumor,Spontaneous epistaxis,Foreign object,Allergic rhinitis,Spontaneous epistaxis
Which of these is suggested by acute hemoptysis?,Acute pancreatitis,Acute gastritis,Corrosive poison exposure,Peptic ulcer,Peptic ulcer
"If a bronchus is occluded by an intrinsic growth, atelectasis will result and the trachea would deviate in which direction?",Toward the lung with more air,To the right side due to the liver,To the involved side,To the uninvolved side,To the involved side
Which of these may serve to differentiate angina from myocardial infarction?,Smoking,Relief with rest,A history of precordial pressure,Pain from the jaw to the neck,Relief with rest
"A 63 year old woman presents with pain in multiple joints.  She complains of dryness and irritation of the eyes, and a chronically dry mouth.  When she touches cold things her skin blanches.  She has been previously diagnosed with Raynaud disease, but based upon the symptoms, which is a more likely diagnosis?",Adie syndrome,Sjogren syndrome,Horner syndrome,Felty syndrome,Sjogren syndrome
A 56 year old alcoholic male presents with venous distention on the chest with hematemesis.  What is the most likely diagnosis?,Esophageal varices,Hepatomegaly,Gastric carcinoma,Portal hypertension,Esophageal varices
"Which of these is typical of acute cholecystitis, but not typical of acute cholelithiasis?",Right upper quadrant pain,Elevated temperature,Pain radiation to the right scapula,Nausea and vomiting,Elevated temperature
"A patient presents with swelling of the scrotum, the swelling is unattached to the testes.  What is the best way to differentiate between a cystic and a solid mass?",Plain film radiography,Descent upon coughing,Transillumination of the scrotum,Palpable tenderness,Transillumination of the scrotum
"A 35 year old man presents with low back pain, nausea, and vomiting.  Physical exam reveals urinary incontinence, urgency, fever, flank pain, and abdominal rigidity.  Which of these diagnostic procedures should be utilized first?",Urinalysis and complete blood count,Radiographic spine study,Lower GI series,Magnetic resonance imaging,Urinalysis and complete blood count
"A 64 year old male presents with the chief complaint of paroxysmal nocturnal dyspnea for the last 2-3 years.  Physical exam reveals normal temperature, pulse of 90, and blood pressure of 179/105.  Light crackles were heard at both lung bases.  There is a rumbling apical diastolic murmur with an opening snap.  Which of these can cause this presentation?",Pericardial effusion,Pulmonary edema,Positional hypertension,Decreased blood volume,Pulmonary edema
Unintentional weight gain can be a clinical manifestation of which of these conditions?,Hypothyroidism,Depression,Tuberculosis,Malignancy,Hypothyroidism
What is the most frequent complication of polycythemia vera?,Cor pulmonale,Pruritis,Thrombosis and hemorrhage,Retinal vein engorgement,Thrombosis and hemorrhage
Which s the initial presenting symptom of bacterial pneumonia?,Hypotension,Fever,Hypothyroidism,Bradycardia,Fever
Which of these is characteristic of subcutaneous emphysema?,Dyspnea,Crepitus,Edema,Wheals,Crepitus
"A 50 year old man presents with dull, achy, lower back pain.  Auscultation reveals a bruit over the abdominal aorta.  Lower extremity pulses are weak, and the lower extremities are notably cooler.  What is suggested by this presentation?",Central canal stenosis,Disc injury,Aortic aneurysm,Lymphoma,Aortic aneurysm
A 23 year old female presents with painful abdominal distention and alternating diarrhea and constipation.  Her stools are small and she experiences gaseous distention and flatulence.  What is the most likely diagnosis?,Regional enteritis,Ulcerative colitis,Colon cancer,Irritable bowel syndrome,Irritable bowel syndrome
"A 45 year old, obese woman complains of excessive flatulence, and pain in the right chest which radiates to the right scapula.  What is the most likely cause of complaint?",Pyelonephritis,Pancreatitis,Stomach cancer,Cholecystitis,Cholecystitis
"A patient has been camping for two weeks and now presents with a rash which started on the arms, and has spread to the trunk, what is the most likely diagnosis?",Cryptosporidiosis,Coccidiomycosis,Lyme disease,Histoplasmosis,Lyme disease
"A female patient presents with exopthalmos, hyperosmia, and nervous tremors.  Which of these is the most likely cause of these signs?",Diabetes insipidous,Hyperadrenalism,Pheochromocytoma,Hyperthyroidism,Hyperthyroidism
Which of these increases the likelihood of myocardial infarction in a patient with chest pain?,The pain is reproducible with certain movements,The pain radiates down the left arm,The pain is accompanied by nausea and vomiting,The pain is reproducible on palpation,The pain radiates down the left arm
"A patient presents with large, red and silver, scaly skin lesions over his back and buttocks.  What is the most likely diagnosis?",Herpes zoster,Herpes simplex,Psoriasis,Basal cell carcinoma,Psoriasis
Which of these is most characteristic of gastroesophageal reflux disease (GERD) compared with other gastrointestinal disorders?,Pyrrhosis (heartburn),Reflux acidity into the mouth,Angina like chest pain,Bleeding from the esophagus,Reflux acidity into the mouth
"A 60 year old male presents with lower back pain, increased alkaline phosphatase, and C Reactive protein.  Which is the most likely diagnosis?",Paget disease,Multiple myeloma,Thalassemia,Metastatic carcinoma,Paget disease
A 45 year old man complains of lower thoracic pain which radiates into the right groin.  Position change and movement have no effect on the pain.  Based upon the radiation pattern what is the most likely diagnosis?,Acute cholecystitis,Thoracic subluxation,Kidney stone,Gangrenous appendicitis,Kidney stone
A patient presents with fruity smelling breath. Which of these is indicated?,Intestinal obstruction,Diabetes mellitus,Liver disease,Tonsil or dental infection,Diabetes mellitus
"A young woman, 6 months pregnant, presents with cracking at the corners of the lips and oily dermatitis on her face.  Which nutrient is likely to be missing in her diet?",Thiamine,Niacin,Pyridoxine,Riboflavin,Riboflavin
"A 60 year old plumber presents with a sore on his lower lip which has been present for the last 6 months.  The sore is elevated and pink, with atrophic changes of the surrounding skin.  The lesion occasionally bleeds.  Which is the most likely diagnosis?",Apthous ulcer,Herpes simplex,Squamous cell carcinoma,Adencarcinoma,Adencarcinoma
Which of these nail changes is seen a patient with psoriasis?,Pitting,Clubbing,White lines,Splinters,Pitting
Inadequate intake of which vitamin leads to beri beri?,Niacin,Vitamin D,Vitamin C,Thiamine,Thiamine
"A male patient presents with peri-orbital edema, and a puffy face.  He also has dry skin, hair loss, and thinning of the eyebrows.  Which system should be evaluated first?",Endocrine,Cardiovascular,Respiratory,Nervous,Endocrine
"A patient complains of dull thoracic pain.  Two days previous the patient experienced flu like symptoms, vomiting, clammy skin, racing pulse, and pressure deep within the chest.  What is the diagnosis?",Myocardial infarction,Spontaneous pneumothorax,Dissecting aneurysm,Influenza infection,Myocardial infarction
"A 28 year old male presents with a complaint of polydipsia, followed by polyuria for the last 3 weeks.  He has lost 10 lbs. without change in diet or activity level.  Based on this information, what is the most likely cause of complaint?",Psychogenic polydipsia,Hypertrophic prostate,Diabetes,Congestive heart failure,Diabetes
,,,,,
Quiz #6,,,,,
"A sender female presents with vague abdominal discomfort, diarrhea, nausea, and general fatigue.  She has a bronze like tan appearance, blue/black spots in the oral mucosa, and a blood pressure of 80/50.  She also reports light headedness when standing.  What is the most likely cause?",Acute hypoglycemia,Adrenocortical insufficiency,Liver cirrhosis,Acute viral infection,Adrenocortical insufficiency
"A 68 year old patient walks for a hundred yards and feels leg pain.  If the pain disappears at rest, what is the most likely cause?",Vascular compression,Neurogenic,Muscular,Osteophytes,Vascular compression
"A female patient presents with lack of energy, weight gain, constipation, cold intolerance, hoarseness, fatigue, decreased reflexes, weakness, and dry skin.  These symptoms strongly suggest which of these diagnoses?",Grave disease,Cushing disease,Hypothyroidism,Addison disease,Hypothyroidism
The serum hematology report on a male patient demonstrates a normocytic anemia with elevated reticulocyte counts.  Serum chemistry studies reveal indirect hyperbilirubinemia.  Which test should be run next?,Fecal occult blood,Coombs,Serum blood assay,Serum ferritin,Coombs
A 60 year old man with a history of angina reports an episode that has lasted for several hours and feels like a fist clenched behind his sternum.  The pain is not relieved by rest.  What is the likely diagnosis?,Hiatal hernia,Myocardial infarction,Angina pectoris,Coronary spasm,Myocardial infarction
"Which of these is most likely in a patient presenting with a suprapubic mass, hematuria, and increased urination?",Cholecystitis,Cystitis,Ureteral stone,Endometriosis,Cystitis
A 42 year old female presents with pain in the upper right quadrant which radiates to the  right scapula.  Which blood test should be ordered?,Bilirubin,Alfa fetoprotein,CBC and sedimentation rate,Non-protein nitrogen,Bilirubin
"Which of these is a chronic, slowly progressive disorder, characterized by increase in red cell count, hyperplasia of bone marrow, and splenomegaly?",Osteosclerotic anemia,Polycythemia vera,Erythrocytosis,Addisonian anemia,Polycythemia vera
"If a patient with ulcerative tonsillitis and pharyngitis is suspected of having Vincent angina, confirmation of the diagnosis is revealed by positive smear for _______.",Spirillum and fusiform bacilli,Spirochetes,Staphylococcus,Fusiform bacillum,Spirillum and fusiform bacilli
"A 60 year old male presents with prolonged expiration, hyperresonance of the lung fields, mild wheezing, and scattered ronchi.  What is suggested by this presentation?",Pneumonia,Upper lung carcinoma,Congestive heart failure,Chronic obstructive pulmonary disease,Pneumonia
"A teenage male presents with sparse, coarse hair, dry, rough skin, and cracked lips.  He also reports severe headache and general weakness.  He is self treating for an acne condition.  Which of these is the likely nutritional cause of his condition?",Hypervitaminosis C,Decreased calcium,Vitamin D deficiency,Hypervitaminosis A,Hypervitaminosis A
Thrombocytopenic purpura in a patient suggests that the examiner should inquire about which of these?,Familial tendency,Antecedent drug therapy,Intestinal occlusion,Food allergies,Antecedent drug therapy
"A 34 year old woman complains of diarrhea.  She notes that her stool has been light gray colored, greasy, and foul smelling.  What is the likely cause?",Malabsorption,Hirschprung disease,Paralytic ileus,Over hydration,Malabsorption
"A 30 year old female presents with nausea, vomiting, and right lower quadrant pain.  She reports not having a period in 10 weeks.  She reports using an IUD and has a history of pelvic inflammatory disease.  She also exhibits enlarged breasts and has a palpable mass in the right lower quadrant, and has been bleeding vaginally for the last 2 days.  What is the most likely working diagnosis?",Uterine leiomyoma,Acute appendicitis,Uterine adenocarcinoma,Tubal pregancy,Tubal pregancy
Which of these is a possible complication of angioneurotic edema?,Gastrointestinal edema,Urethral occlusion,Laryngeal obstruction,Pulmonary edema,Laryngeal obstruction
"Which is suggested by cachexia, hepatomegaly, and granular changes on the anterior surface of the liver?",Adrenal insufficiency,Hepatitis,Portal hypertension,Cirrhosis,Cirrhosis
Which of these is characteristic of hypertrophic pyloric stenosis?,Vomiting without weight loss,Food aversion following vomiting,Vomit containing bile,Projectile vomiting,Projectile vomiting
A teenage girl complains severe joint pain with intermittent fever and elevated sedimentation rate.  Which of these is the most likely cause?,Scarlett fever,Polyarteritis nodosa,Rheumatic fever,Paget disease,Rheumatic fever
"A 60 year old man presents with clubbed nail, cyanosis of the lips, and  bilateral hypertrophy of the sternomastoid muscle.  History reveals orthopnea, nocturnal paroxysmal dyspnea, edema, and chest pain.  Which system is involved?",Gastrointestinal,Respiratory,Cardiac,Vascular,Respiratory
"A 68 year old man presents with a complaint of frequent episodes of upper abdominal pain, usually after eating, and worst after heavy meals.  This has persisted for several months, and is accompanied by weight loss, malabsorption, and steatorrhea.  Which diagnosis is suggested by this presentation?",Whipple disease,Dissecting aneurysm,Celiac artery deficiency,Mesenteric thrombosis,Whipple disease
"A 14 year old female presents with sudden onset of epigastric pain, which started in the right lower quadrant.  She also complains of anorexia, nausea, and vomiting.  Examination reveals hypersensitivity and muscular rigidity of the abdomen.  White cell count is 17,000.  What is the most probable diagnosis?",Diverticulitis,Colitis,Crohn disease,Appendicitis,Appendicitis
"An obese 21 year old female presents with hypertension, polyuria, and muscle weakness, lab shows potassium depletion and hypokalemic alkalosis.  What is the most probable diagnosis?",Cirrhosis,Ankylosing spondylitis,Aldosteronism,Colitis,Aldosteronism
"A doctor notices a patient having difficulty breathing with distention of the jugular vein, along with increased tone of the sternomastoid muscle, the scalene muscles, and abdominal effort while breathing.  Breath rate is 8 per minute.  What is the most likely diagnosis?",Pulmonary edema,Pulmonary emphysema,Pneumothorax,Pulmonary embolism,Pulmonary emphysema
"A 19 year old female presents with a 2 day history of fatigue, sore throat, and poor appetite.  She has throbbing headaches without visual disturbance, temperature is 102º, and she sleeps a lot. Based on this information which option is most likely?",Mononucleosis,Streptococcal infection,Central nervous system infection,Viral infection,Mononucleosis
Which of these groups is most susceptible to iron deficiency anemia?,Middle aged males,Prepubertal females,Pregnant females,Adolescent males,Pregnant females
Acrocyanosis is most likely to result from which condition?,Staphylococcal infection,Streptococcal infection,Pulmonary insufficiency,Vasomotor instability,Vasomotor instability
Malignant hypertension may be fatal due to which complication?,Pulmonary edema,Circulatory collapse,Autointoxication,Renal failure,Renal failure
"A patient presents with ankle edema, ulceration over the medial malleolus, cyanosis, and stasis dermatitis.  What is the best diagnostic procedure to evaluate this patient?",MRI,Doppler ultrasound,Bone scan,Computerized tomography,Doppler ultrasound
After chest auscultation the examiner diagnosed inflammation of the mucous membranes of the proximal portion of the bronchial tree based upon the presence of which sounds?,Dry rales,Moist rales,Friction rubs,Vesicular sounds,Dry rales
Disorders at which locations may lead to secondary diastolic hypertension?,"Adrenal glands, aorta, or kidneys","Spleen, Ovaries, or liver","Kidneys, aorta, or liver","Thyroid, liver, or kidneys","Kidneys, aorta, or liver"
"A 55 year old man, without history of trauma, complains of lower back pain which wakes him at night.  He presents with a 10º antalgic lean.  Which of these would be most diagnostic?",Electromyography,Plain film radiography,Complete blood count,Computerized tomography,Plain film radiography
"A 37 year old female presents with a nonproductive, dry, cough brought on by hiking outdoors.  It wakes her at night.  After a year he cough is getting worse.  her lab values are normal.  What is the best diagnosis?",Pneumonia,Emphysema,Chronic bronchitis,Asthma,Chronic bronchitis
"In a patient with a very sudden onset of dry cough, and severe shortness of breath, what diagnosis is suspected?",Pulmonary tuberculosis,Pulmonary tumor,Bronchiectasis,Pulmonary embolism,Pulmonary embolism
A 23 year old man with a 15 year history of irresistible bouts of sleep is exhibiting ____.,Narcolepsy,Mitral insufficiency,Malaise,Epilepsy,Narcolepsy
"A young male presents with fever, abdominal cramps, (-) rheumatoid factor, (-) auto antibodies, with pain in the knees, ankles, and wrists.  What is the most likely cause?",Ulcerative colitis,Mesenteric adenitis,Viral gastroenteritis,Ankylosing spondylitis,Ulcerative colitis
A man experiences sharp retrosternal after climbing of steps.  Which of these can be ruled out immediately?,Myocardial infarction,Cholecystitis,Peptic ulcer,Angina pectoris,Cholecystitis
Patients with an accumulation of tender fat areas demonstrate _______.,Lipomatosis generalista,Adiposis dolorosa,Cushing syndrome,Hypoadepopexis,Adiposis dolorosa
After chest auscultation the examiner diagnosed fluid in the bronchial alveoli based upon the presence of which sounds?,Moist rales,Dry rales,Vesicular sounds,Friction rubs,Moist rales
Clubbing of the nails is seen in the presence of which of these?,Heart or lung disease,Renal failure,Psoriasis,Iron deficiency anemia,Heart or lung disease
"A 10 year old female presents with fever, and a pink rash with a clear center on the trunk.  Last week she complained of elbow and knee pain.  Examination reveals a blowing, systolic murmur over the mitral valve.  History reveals a severe pharyngitis 4 weeks ago.  What is the most likely diagnosis?",Scarlet fever,Rubeola,Herpes zoster,Rheumatic fever,Rheumatic fever
"In the development of psychophysiologic disorders such as ulcers, which part of the nervous system is affected?",The autonomic system,The central nervous system,The ganglionic connections,The peripheral nervous system,The autonomic system
A patient presents with cheilosis and angular stomatitis.  Which nutrient is likely to be deficient?,Vitamin D,Riboflavin,Essential fatty acids,Vitamin C,Riboflavin
"An obese male presents with longstanding pain in the stomach, which gets worse if he eats after 5 pm.  He has taken aspirin for a long time.  Examination reveals elevated blood pressure, increased respiration, and increased heart rate.  Laboratory testing reveals microcytic, hypochromic anemia.  Which of these is most diagnostically relevant for upper gastrointestinal problems?",Jaundice of the skin,Pain worsened in the left decubitus position,Occult blood in the stool,Fresh blood in the stool,Occult blood in the stool
